species,PL_V_GP_10_I_1987,PL_V_GP_10_II_1987,PL_V_GP_5_1987,PL_V_GP_10_I_1988,PL_V_GP_10_II_1988,PL_V_GP_5_1988,PL_V_GP_10_I_1989,PL_V_GP_10_II_1989,PL_V_GP_5_1989,PL_V_GP_10_I_1990,PL_V_GP_10_II_1990,PL_V_GP_5_1990
.Agrostis vinealis Schreb.,0,0,0,0,0,0,1,0,0,1,0,0
.Ajuga orientalis L.,0,0,0,0,0,0,1,0,0,0,0,0
.Alchemilla vulgaris L. aggr.,0,0,0,0,0,0,0,1,0,0,0,0
.Anemone speciosa Adam ex G.Pritz,0,3,1,0,2,6,0,2,1,0,4,2
.Antennaria dioica (L.) Gaertn.,0,0,0,0,0,0,0,9,7,0,2,0
.Anthemis cretica L. ssp. iberica (Bieb.) Grier.,16,12,5,6,9,2,14,10,0,12,18,8
.Anthoxanthum odoratum L.,66,40,26,32,32,19,72,94,41,68,185,48
.Arenaria lychnidea Bieb.,10,0,23,0,0,0,11,0,9,0,0,7
.Aster alpinus L.,0,0,0,0,0,0,0,0,0,0,0,0
.Botrychium lunaria (L.) Sw.,0,0,0,0,0,0,0,0,0,0,0,0
.Bromopsis variegata (Bieb.) Holub,3,0,0,0,0,0,4,14,0,13,0,0
.Calamagrostis arundinacea (L.) Roth.,0,0,0,0,0,0,0,0,2,0,0,0
.Campanula collina Bieb.,7,25,0,4,17,1,12,39,3,2,22,2
.Campanula tridentata Schreb.,18,54,14,4,18,22,5,60,18,5,51,14
.Carex atrata L.,4,0,1,4,2,0,0,1,0,0,2,0
.Carex sempervirens Vill.,0,0,0,0,0,0,0,0,0,0,0,0
.Carex umbrosa Host,15,15,16,5,6,13,29,33,22,0,3,3
.Carum caucasicum (Bieb.) Boiss.,0,4,0,0,0,0,0,0,0,0,0,0
.Carum meifolium (Bieb.) Boiss.,0,0,0,0,0,0,0,0,0,7,0,0
.Centaurea cheiranthifolia Willd.,0,0,0,0,0,0,0,0,0,0,0,0
.Cerastium purpurascens Adams,0,29,3,4,24,1,4,66,12,1,32,4
.Chaerophyllum roseum Bieb.,25,0,0,0,0,0,5,0,0,3,0,0
.Coeloglossum viride (L.) C. Hartm.,0,0,0,0,0,0,0,0,0,0,0,0
.Cruciata laevipes Opiz,0,0,0,0,0,0,0,0,0,0,0,0
.Deschampsia flexuosa (L.) Trin.,46,11,0,157,11,21,325,187,33,96,42,5
.Draba sibirica (Pall.) Thell.,0,0,0,0,0,0,0,0,0,0,0,0
.Erigeron caucasicus Stev.,1,0,0,3,0,0,6,0,0,1,0,1
.Euphrasia ossica Juz.,138,2,0,155,16,12,109,59,32,55,35,48
.Festuca brunnescens (Tzvel.) Galushko,3,4,3,10,5,0,55,205,60,7,56,16
.Festuca ovina L.,18,19,9,12,12,5,96,224,62,37,93,14
.Festuca varia Haenke,5,9,2,3,33,0,552,774,150,44,124,9
